scenario_id,method,verification_status,covered_duration_s,exposed_duration_s,maximum_exposure_s,minimum_margin_m,flight_distance_m,command_time_s,drop_time_s,burst_time_s
q1_rebuild_front_d8000,shgo,certified_infeasible,10.376134889753999,13.79157436538,6.903329158323,-173.224667810672,55.99999999999999,0.0,2.0,5.5
q1_rebuild_front_d10000,shgo,certified_infeasible,10.376134889754,13.791574365379999,6.895787182713001,-173.16651917836427,72.8827927128,0.6029568826,2.6029568826,6.1029568826
q1_rebuild_front_d12000,shgo,certified_infeasible,10.376134889753999,13.79157436538,6.895787182704,-173.16651917843365,243.76558542560002,6.7059137652,8.7059137652,12.2059137652
q1_rebuild_front_d15000,shgo,certified_infeasible,10.376134889754002,13.791574365379994,6.895787182690995,-173.1665191785492,500.0897744948,15.860349089100001,17.8603490891,21.3603490891
q1_rebuild_rear_d8000,shgo,certified_infeasible,10.376134889753999,14.984907730887002,7.493126505423,-177.772005356813,56.0,0.0,2.0,5.5
q1_rebuild_rear_d10000,shgo,certified_infeasible,10.376134889753999,14.984907730886999,7.492453865445,-177.76681930258263,81.3205033788,0.9043036921000001,2.9043036921,6.4043036921
q1_rebuild_rear_d12000,shgo,certified_infeasible,10.376134889753999,14.984907730887002,7.492453865461,-177.76681930270598,260.64100675760005,7.3086073842,9.3086073842,12.8086073842
q1_rebuild_rear_d15000,shgo,certified_infeasible,10.376134889754002,14.984907730886999,7.492453865447999,-177.76681930260582,529.6217618244,16.9150629223,18.9150629223,22.4150629223
q1_rebuild_side_d8000,shgo,certified_infeasible,10.376134889754002,14.387574171823996,7.212061110323,-175.60499116059202,56.0,0.0,2.0,5.5
q1_rebuild_side_d10000,shgo,certified_infeasible,10.376134889754,14.390782576869997,7.195391288480998,-175.47646683419018,77.01091461840001,0.7503898078000004,2.7503898078000004,6.2503898078
q1_rebuild_side_d12000,shgo,certified_infeasible,10.376134889754002,14.393404242348996,7.196702121198999,-175.48657335444597,252.0384229888,7.001372249599999,9.0013722496,12.5013722496
q1_rebuild_side_d15000,shgo,certified_infeasible,10.376134889753999,14.396612997456003,7.198306498744003,-175.49894310531795,514.6001536955999,16.3785769177,18.3785769177,21.8785769177
q1_rebuild_oblique_d8000,shgo,certified_infeasible,10.376134889753999,14.809834136086,7.434744985763,-176.861937348992,56.0,0.0,2.0,5.5
q1_rebuild_oblique_d10000,shgo,certified_infeasible,10.376134889754,14.811462131006996,7.405731065542,-177.0981865153305,80.03885551759998,0.8585305541999997,2.8585305541999997,6.3585305542
q1_rebuild_oblique_d12000,shgo,certified_infeasible,10.376134889754002,14.812783035284998,7.4063915176579975,-177.10327860114484,258.08638328760003,7.2173708317,9.2173708317,12.7173708317
q1_rebuild_oblique_d15000,shgo,certified_infeasible,10.376134889754002,14.814388392342998,7.407194196208998,-177.1094672521948,525.1682931263999,16.7560104688,18.7560104688,22.2560104688
