scenario_id,uav_count,bomb_count,verification_status,coverage_lower_s,joint_coverage_lower_s,coverage_upper_s,total_exposure_lower_s,total_exposure_upper_s,maximum_continuous_exposure_s,maximum_exposure_lower_s,maximum_exposure_upper_s,best_single_smoke_coverage_lower_s,best_single_smoke_candidate_id,joint_gain_s,pairwise_conflict_ok,minimum_pairwise_distance_m
q1_rebuild_front_d8000,3,3,certified_infeasible,17.263415274726285,17.263415274726285,17.265795741340057,6.901913513793945,6.904293980407715,5.49932861328125,5.49932861328125,6.904293980407715,10.37384033203125,smoke_0,6.889574942695035,True,0.0
q1_rebuild_front_d10000,3,3,certified_infeasible,17.270972993456894,17.270972993456894,17.272632575751675,6.895076679382324,6.8967362616771055,6.895076679382324,6.895076679382324,6.896736261677109,10.37384033203125,smoke_0,6.897132661425644,True,0.0
q1_rebuild_front_d12000,3,3,certified_infeasible,17.27097753661799,17.27097753661799,17.272153685023152,6.895555570110847,6.896731718516008,6.895555570110847,6.895555570110847,6.89673171851601,10.37384033203125,smoke_0,6.897137204586741,True,0.0
q1_rebuild_front_d15000,3,3,certified_infeasible,17.27097317867664,17.27097317867664,17.27263264356511,6.895076611568886,6.896736076457355,6.895076611568886,6.895076611568886,6.896736076457355,10.373840280661149,smoke_0,6.897132898015492,True,0.0
